epoch,lr,train_loss,train_acc,val_loss,val_acc,seconds
1,1.50e-04,5.0003,2.19,3.8212,18.40,73
2,3.00e-04,3.8420,13.54,1.9097,59.14,54
3,3.00e-04,2.7495,29.95,1.1984,71.19,54
4,2.99e-04,2.3171,33.62,0.9086,78.55,55
5,2.96e-04,2.0358,40.28,0.7517,84.14,55
6,2.92e-04,1.9930,45.81,0.6496,84.14,54
7,2.85e-04,1.8646,48.62,0.6464,86.55,55
8,2.77e-04,1.8688,43.79,0.6987,84.90,54
9,2.67e-04,1.6612,48.89,0.5858,88.45,54
10,2.56e-04,1.6355,54.15,0.6183,86.93,53
11,2.44e-04,1.8006,44.64,0.6061,89.59,54
12,2.30e-04,1.5685,48.94,0.5530,89.34,54
13,2.15e-04,1.5765,46.24,0.5916,88.58,54
14,2.00e-04,1.5719,53.08,0.5793,88.71,53
15,1.83e-04,1.6293,48.40,0.5307,90.10,54
16,1.67e-04,1.6883,52.66,0.5917,90.48,54
17,1.50e-04,1.4441,49.07,0.5647,89.97,53
18,1.33e-04,1.4897,50.51,0.5070,90.36,53
19,1.17e-04,1.4674,55.41,0.4883,91.24,54
20,1.01e-04,1.4939,45.20,0.5495,90.10,53
21,8.51e-05,1.5319,50.18,0.5019,90.36,53
22,7.04e-05,1.5100,51.92,0.5073,90.23,54
23,5.67e-05,1.4065,54.99,0.5105,90.23,52
24,4.42e-05,1.4100,50.30,0.5040,90.61,53
25,3.30e-05,1.4506,55.99,0.5058,90.86,54
